PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
3295,14745083,4617636,C1COC2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC4=NC5=CC=CC=C5N=C43,Active,57,,,=,2.088,1.052,-10.4,-100,3.87,14,-99.6,-9.4,-8.8,-5.7,-20.7,,-28.3,,-83,-99.6
3296,24789287,2949339,CNCCCOC1=CC(=CC=C1)OC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,59,,,=,1.292,1.095,-15.5,-103.2,2.77,14,-99.6,-21,-9.2,-18.7,-33.4,,-66.1,,-99.2,-99.6
3297,24785464,7066845,CC1=CC=C(C=C1)NC2=C(N=C3N2C(=CC=C3)C)C4=CC=CC=N4,Active,63,,,=,0.488,1.155,13.3,-100,1.78,13,-97.9,8.1,-5.6,-35.2,,-57.4,,-97.9,-97,-96.2
3298,14725208,3103704,C1=CC(=C(C=C1Cl)Cl)OC2=CC(=CC(=C2)[N+](=O)[O-])NC(=O)CN3C=C(N=C3)[N+](=O)[O-],Active,60,,,=,1.107,1.079,-5.9,-104.1,2.45,14,-100.6,-3.8,-3.9,-20.9,,-32.3,,-77.2,-98.2,-100.6
3299,17412494,800941,CCOC(=O)C1=C(C=C(S1)NC(=O)NC2=CC=C(C=C2)Cl)C,Active,58,,,=,1.496,1.063,3.1,-101.5,3.07,14,-99.8,7.6,0.8,-1.3,,-9.5,,-54.6,-90.7,-99.8
3300,24779539,4278191,COC1=CC(=C(C=C1)NC(=O)C2=CC=C(S2)[N+](=O)[O-])[N+](=O)[O-],Active,57,,,=,1.865,1.06,5.6,-97.1,3.64,14,-95.2,0.6,6.7,11.6,,-1.9,,-30.9,-82.6,-95.2
3301,49734567,15988852,COC1=CC(=CC(=C1OC)OC)NC(=O)C2=NOC(=C2)C3=CC4=C(C=C3)OCO4,Active,69,,,=,0.115,1.063,0,-96.8,2.51,12,-99.5,-38.6,-81,-83.8,,-96.7,,-98.6,-99.5,
3302,24825214,3898532,CC1=C(C=CC(=C1)C(=O)NC2=NC(=CS2)C3=CC=CC=N3)[N+](=O)[O-],Active,60,,,=,1.106,1.112,5.6,-100,4,13,-98,3.2,5.5,-2,3.2,,-88.9,,-98,-97.3
3303,26665500,11905861,C1[C@@H]([C@H]1C(=O)NNC(=S)NC(=O)C2=CC(=CC=C2)F)C3=CC=CC=C3,Active,54,,,=,3.906,1.062,10.5,-100,4,13,-88.1,13.4,9.4,8.7,,11.9,,5.5,-14.4,-88.1
3304,24821079,1487485,CC1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Br)Br,Active,57,,,=,2.23,1.143,9.4,-100,4,13,-98.6,-4.5,1.4,16.7,,11.4,,12.1,-98.6,-97.5
3305,24827324,2342136,CC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Active,62,,,=,0.654,1.1,0,-100,1.26,13,-100.8,-12.4,-14.2,-42.7,,-47.4,,-74.9,-89.8,-100.8
3306,24811825,16193436,CN(C)CCCN(C1=NC2=C(C=C(C=C2S1)F)F)C(=O)C3=CC=CO3.Cl,Active,70,,,=,0.101,1.028,0,-97.5,2.78,14,-98.9,-47.8,-84.8,-92.9,-97.4,,-97.3,,-97.3,-98.9
3307,51087881,24892253,CCCOC(=O)C1=CC=C(C=C1)[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,70,,,<,0.1,,,,,13,-100.9,-95.3,-98.6,-99.4,-100.6,,-100.4,,-100.9,-99.2
3308,49667133,4896097,CC1=CC2=C(C(=C(C(=O)O2)CC(=O)NCCCN(C)C)C)C3=C1C(=CO3)C(C)(C)C,Active,56,,,=,2.293,1.15,-17.7,-100,2.73,11,-98,-7.6,-18.3,-23.9,,-32.6,,-34.7,-76.9,-98
3309,51087773,24892245,CN(C)CCN(C1=NC2=C(S1)C=C(C=C2)F)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C54.Cl,Active,70,,,<,0.1,,0,-106.5,0.5,13,-96.1,-71.7,-69.4,-74.6,-90.6,,-94.1,,-95.4,-96.1
3310,852118,654722,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC4=NN=C(O4)COC5=CC=C(C=C5)F,Active,60,,,=,1.004,1.157,0,-100,1.07,14,-97.3,-8.3,-10.6,-28.3,,-53.1,,-50.9,-72.7,-97.3
3311,49825371,2975186,CN1CCN(CC1)C(=O)COC2=CC=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)F,Active,68,,,=,0.142,1.258,0,-100,0.77,13,-97,-53.4,-43.2,-65.5,,-83.3,,-92.9,-88,-97
3312,24787744,2923620,CC1=C(C=CC(=C1)Br)OCCCCN2CCCCC2.C(=O)(C(=O)O)O,Active,61,,,=,0.75,1.088,0,-100,1.58,14,-97.3,5.9,-5.9,-29.5,-54.3,,-70.8,,-87.2,-97.3
3313,49816950,24816646,CCCN1C(=C(C=N1)CN2CCC(CC2)C(=O)NC3=CC=CC(=C3)C4=CC(=CC=C4)F)C,Active,56,,,=,2.335,1.14,0,-100,1.22,12,-61.6,-2.4,-5.9,-13.3,,-21.4,,-32.9,-61.6,
3314,14736208,1380835,CCC1(C(=O)N(C(=O)N(C1=O)CC2=CC=CC=C2)CC3=CC=CC=C3)CC,Active,58,,,=,1.714,1.071,-13.9,-100,3.53,14,-100.9,-5.5,-14.1,-18.6,,-24.8,,-48.8,-92.8,-100.9
3315,24782023,5072577,COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC(=CC=C4)S(=O)(=O)NCC5=CC=CO5)OC,Active,58,,,=,1.636,1.062,-8.1,-103,3.91,13,-100.9,-2.4,-15.7,-7.6,-15.8,,-46.4,,-97,-100.9
3316,24820483,2131984,CC1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=C(O2)C3=CC=C(C=C3)Br)/C(=O)NCCCN(C)C,Active,58,,,=,1.561,1.098,-9.1,-100,2.14,14,-98,-3.9,-16.6,-12.4,,-27,,-55.6,-80.9,-98
3317,24825909,9621363,C1=CC(=CN=C1)/C=N/NC2=C3C=CC(=CC3=NC=C2)Cl,Active,60,,,=,0.931,1.164,0.8,-76.7,1.66,14,-75.3,-3.5,-2,-12.3,,-35.2,,-54.2,-64.3,-75.3
3318,14722968,1458607,CS(=O)(=O)N1CCC2=C1C=CC(=C2)C3=CSC(=N3)NC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5,Active,58,,,=,1.449,1.084,-18.5,-101.7,3.38,14,-99,-15.9,-18.3,-21.5,-28.2,,-61.2,,-98,-99
3319,24832566,1391579,CC1=CC=C(O1)/C=C\2/C(=O)N(C(=S)S2)C3=CN=CC=C3,Active,56,,,=,2.357,1.149,0,-100,1.58,14,-85.5,-7.8,4.3,-12.4,-12.7,,-33.3,,-56,-85.5
3320,14730785,2965202,CCOC(=O)C1=C(SC2=C1C3CCN2CC3)NC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5.Cl,Active,57,,,=,1.864,1.174,25,-100,1.76,14,-98.5,44,31.8,25.7,,-10.9,,-28.4,-50.4,-98.5
3321,17412083,757113,C1=CC(=C(C=C1NC(=O)CCCN2C=NC(=N2)[N+](=O)[O-])Cl)Cl,Active,70,,,<,0.1,,0,-98.9,3.05,14,-99.2,-84.7,-96.7,-98.9,-98.5,,-98.4,,-99.1,-99.2
3322,49664996,4902140,CC1=C(N(C2=NC=NC(=C12)NC3=CC=C(C=C3)F)CCCN(C)C)C,Active,60,,,=,0.9,1.148,10.4,-100,1.7,12,-86.4,9.7,-0.8,-8.4,-36.4,,-68.3,,-86.4,
3323,17408784,767374,C1=CC2=C(C=C1Cl)SC(=C2Cl)C(=O)NC3=NC=CS3,Active,56,,,=,2.307,1.105,0,-100,4,14,-96.6,2.1,-2.2,-4.9,,-4.2,,-1.4,-87.9,-96.6
3324,14743450,1905702,CCCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)S(=O)(=O)C4=CC=C(C=C4)C)NC(=O)C5=CC=CO5,Active,55,,,=,3.265,1.112,-10.5,-100,2.25,13,-86.1,-8,-14.6,-1.1,,-16.1,,-30.6,-45.2,-86.1
3325,26663656,1966876,CC1=CC2=C(C=C1)OC(=O)C=C2CN3CCN(CC3)C/C=C/C4=CC=CC=C4,Active,65,,,=,0.293,1.077,-16.6,-97.7,4,14,-98.2,-22,-22.8,-81.5,-93.7,,-96.8,,-97.9,-98.2
3326,17515816,12006157,CN(C)CCN(C1=NC2=C(S1)C=C(C=C2)F)C(=O)C3=C(SC(=C3)Cl)Cl.Cl,Active,70,,,<,0.1,,0,-100.2,1.09,14,-99.5,-60.7,-73.7,-86.7,,-96.3,,-96.3,-97.5,-99.5
3327,22410731,2698808,CN(CC1=CC=C(C=C1)Cl)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCCC3,Active,58,,,=,1.58,1.083,-11.6,-100,1.81,14,-98.7,-11.8,-14,-15.1,-35.1,,-50.6,,-77,-98.7
3328,49823618,19653821,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C)NC(=S)N3CCN(CC3)C,Active,63,,,=,0.467,1.124,1.5,-100.1,1.73,12,-96.2,-5.3,-16.5,-40.7,-68.8,,-88.3,,-96.2,
3329,17515401,12006025,CC1=CC2=C(C=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC4=CC=CC=C4OC3=O.Cl,Active,70,,,<,0.1,,0,-101.3,1.17,14,-100.3,-55.1,-65,-88.3,,-95.2,,-98.4,-97.2,-100.3
3330,850072,652581,CCOC(=O)C1CCN(CC1)CC2=C3C=CC=NC3=C(C=C2)O,Active,55,,,=,3.26,1.355,16.9,-100,1.28,13,-88.4,8.5,28.6,4.1,3.5,,-31.9,,-15,-88.4
3331,49643876,24747033,CCN(CC)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)Cl)C(=O)C3=CC=CO3.Cl,Active,61,,,=,0.87,1.352,-25,-100,1.22,13,-100.1,-40.1,-37.1,-37.3,-55.2,,-74.4,,-89.9,-100.1
3332,56317634,24979965,CCN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCCCC3)NC(=O)C4=CC(=CC=C4)C(F)(F)F,Active,60,,,=,1.089,1.169,-25,-100,1.5,12,-89,-25.9,-34.9,-36.6,,-50.9,,-73.4,-89,
3333,22406801,16239610,CN1CCN(CC1)/N=C/C2=C(C(=CC=C2)Cl)Cl.Cl,Active,65,,,=,0.321,1.175,0,-109.6,0.83,14,-98.2,-35,-38.5,-57.5,,-75.8,,-87.9,-96.6,-98.2
3334,14721490,3153109,CC1=CC=C(C=C1)C2=NN(N=N2)CC(=O)NC3CCN(CC3)CC4=CC=CC=C4,Active,68,,,=,0.141,1.061,0,-101.1,1.57,14,-99.3,-40.6,-56.7,-87.1,,-97.6,,-99,-99.3,-98.7
3335,24810852,56642840,CC(=O)O.CNC1=NC(=NC(=N1)N/N=C/C2=CC3=C(C=C2[N+](=O)[O-])OCO3)NC4=CC=CC=C4,Active,56,,,=,2.415,1.157,-12.3,-100,1.92,13,-99.9,-8.5,-12.8,-15.8,,-24.6,,-45.3,-52.1,-99.9
3336,17432027,970870,CC1=C(C=C(C=C1)NC(=O)NC2=CC(=CC=C2)[N+](=O)[O-])F,Active,56,,,=,2.488,1.281,25,-100,2.3,14,-99.8,66,36.7,58.7,,-4.8,,-8.7,-38.4,-99.8
3337,14730451,9550042,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C4=NC5=CC=CC=C5N4.O,Active,58,,,=,1.7,1.078,-12.4,-100,2.84,13,-101.7,-10.2,-12.3,-15.8,,-22.2,,-52.2,-84.7,-101.7
3338,24791760,3975475,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)S(=O)(=O)NC4=CC(=CC=C4)Cl)[N+](=O)[O-],Active,59,,,=,1.311,1.174,-25,-100,1.94,14,-100,-21.4,-26,-36.2,,-51.4,,-55.9,-98.9,-100
3339,7974727,1321203,C1CCC2=C(C1)C(=C(N=C2C3=CC=CC=C3)N4CCN(CC4)C(=O)C5=CC=CO5)C#N,Active,56,,,=,2.31,1.193,-12.8,-100,1.7,13,-98.1,-10.5,-21,-11.5,,-23.9,,-50.5,-56.6,-98.1
3340,24837881,3505859,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)C)NC(=O)CN2C=NC3=C(C2=O)C=CC(=C3)[N+](=O)[O-],Active,64,,,=,0.406,1.105,0,-100,2.14,14,-101.4,6.1,-27.4,-41.5,,-82.3,,-96.3,-100.8,-101.4
3341,24780726,199911,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCOCC2.Cl,Active,61,,,=,0.836,1.134,0,-88.6,2.57,14,-88.2,-6.1,-8.2,-1.3,-44,,-67.4,,-88.2,-87.9
3342,51090368,24892608,CC1=C(C2=C(C=C1)SC(=N2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N(C)C4CCCCC4)C.Cl,Active,68,,,=,0.148,1.095,0,-104.5,0.95,13,-101.8,-46.8,-55.4,-75.9,-86,,-96.8,,-96.5,-101.8
3343,49671107,17271171,CCOC1=C(C=CC(=C1)CNCC2=CC=CC=C2)OCC3=CC=C(C=C3)Cl.Cl,Active,55,,,=,2.876,1.139,-12,-100,2.6,10,-58.6,-8.3,-13.5,-16.1,,-16.6,,-27.1,-58.6,
3344,17511536,1423235,C1=CC=C(C=C1)CCN2C(=NC3=NC4=CC=CC=C4N=C32)C5=CC(=CC(=C5)[N+](=O)[O-])[N+](=O)[O-],Active,70,,,<,0.1,,0,-92,1.2,14,-92,-67.8,-77.6,-87.2,-88.3,,-92,,-91.2,-90.9
3345,7976334,2851364,CCCCN1C2=CC=CC=C2N=C1NC(=O)C3=CC=CC=C3,Active,57,,,=,2.146,1.064,-7.6,-100,2.86,13,-100,-3.4,-6.8,-5.7,,-20.4,,-32.9,-74.1,-100
3346,26729195,2810028,C1=CC(=CC=C1C2=NOC(=N2)CNC(=O)NC3=CC(=CC(=C3)Cl)Cl)C(F)(F)F,Active,56,,,=,2.434,1.112,21,-100,3.56,14,-99.8,17,34.5,-0.3,,33.5,,-5.7,-58.3,-99.8
3347,24782360,765802,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=NC=C3,Active,58,,,=,1.442,1.166,25,-100,4,11,-94.5,36.5,46.2,,,47.7,,-62.3,-84.6,-94.5
3348,26730518,9581002,CC1=C(C(=NO1)C2=C(C=C(C=C2)Cl)Cl)C3=CSC(=N3)N/N=C/C4=CC=CC=C4Cl,Active,57,,,=,2.08,1.077,-16.3,-100,2.7,13,-95.6,-13.8,-12.8,-22.3,,-22.3,,-43.2,-77.8,-95.6
3349,49641306,24746808,C1=CC=C(C=C1)C2=NC(=NC3=C2C=C(C=C3)Cl)N=C(N)N.Cl,Active,64,,,=,0.382,1.055,-2.5,-95.3,3.91,14,-99.6,-8.5,-1.6,-51.6,,-83.3,,-94.8,-99.6,-96.7
3350,56315569,16552459,CC1=C(C=C(C=C1)C(C)C)OCC(=O)NC2=CC=C(C=C2)N3CCCCC3,Active,57,,,=,2.033,1.099,-14.3,-100,1.91,12,-71.6,-10.3,-17.5,-22.7,,-22,,-49.8,-71.6,
3351,56316829,24979627,C1CCC(=CC1)CCN(C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)N)C(=O)C4=CC=C(O4)[N+](=O)[O-],Active,65,,,=,0.345,1.108,0,-100,0.91,13,-99.8,-19.6,-47.3,-46.9,,-66.6,,-81.8,-85.5,-99.8
3352,17434029,2178534,CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])C(=O)OC,Active,61,,,=,0.797,1.153,-2.7,-100,1.53,13,-100.3,-2.7,-16.6,-33.2,-42.8,,-71.4,,-93.1,-100.3
3353,24793996,2946624,CN1C(=O)C2=CC=CC=C2C(=N1)C3=CC(=C(C=C3)NCCCN(C)C)[N+](=O)[O-],Active,70,,,<,0.1,,0,-101.2,1.04,14,-99.9,-55.8,-73.2,-81.4,-94.8,,-95.6,,-98.9,-99.9
3354,24789565,1733550,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,58,,,=,1.56,1.099,-13.5,-99.2,2.78,14,-96.1,-12.5,-10.5,-19.8,,-25.1,,-56.7,-89.1,-96.1
3355,17416014,1254477,COC1=C(C=C(C=C1)C2=CC3=CC=CC=C3OC2=O)NC(=O)C4=CC=C(O4)[N+](=O)[O-],Active,70,,,<,0.1,,0,-105.1,0.7,14,-98.8,-57.5,-65.2,-80.4,-81.3,,-98.8,,-98.5,-97.3
3356,51090025,24892577,CN(C)CCCN(C1=NC2=CC3=C(C=C2S1)OCCO3)C(=O)C4=CC=C(C=C4)S(=O)(=O)N5CCCCCC5.Cl,Active,70,,,<,0.1,,0,-100,0.5,13,-99.9,-75.8,-84,-79.5,,-88.9,,-90.1,-95.9,-99.9
3357,17402136,3762355,CC1=CC=CC=C1N2CCN(CC2)C(=O)C3=CC=C(C=C3)OC4=NC=C(C=C4)C(F)(F)F,Active,56,,,=,2.32,1.131,-16.4,-100,2.33,14,-96.5,-2.7,-23.2,-19,-31.5,,-34.2,,-69.5,-96.5
3358,24789508,16189424,CN(C)CCC(=O)N1C2=CC=CC=C2CCC3=C1C=C(C=C3)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC.Cl,Active,62,,,=,0.642,1.117,0,-100,1.17,14,-99.8,-5.5,-31.4,-36.3,-44.4,,-70.8,,-92.6,-99.8
3359,49669883,5735740,CCOC1=CC=CC(=C1OC)/C=C/C2=NC3=C(C=CC=C3O)C=C2,Active,56,,,=,2.485,1.21,0,-100,4,11,-80,32.8,3.4,-8.6,,-9.9,,-2.7,-80,
3360,856214,657586,C1CCN(CC1)C2=C(C3=C(CN(CC3)CC4=CC=CC=C4)C(=N2)N5CCCCC5)C#N,Active,63,,,=,0.505,1.081,-9.1,-100,3.7,12,-101.5,-5.5,-16.6,-31.3,,-87.4,,-95.7,-101.5,
3361,14734230,4649066,C1CC(CCC1CN2C(=O)C3=CC=CC=C3NC2=S)C(=O)NCCC4=CNC5=CC=CC=C54,Active,60,,,=,1.069,1.118,-25,-100,1.91,14,-100.2,-25.2,-30.9,-36.9,-46.9,,-69.6,,-98.1,-100.2
3362,24801659,997548,CCC1=CC=CC=C1NC(=O)CN(C2=C(C=C(C=C2)OC)OC)S(=O)(=O)C3=CC=CC=C3[N+](=O)[O-],Active,56,,,=,2.249,1.201,0,-100,0.93,14,-72.6,1.9,-22.1,-16,-26.7,,-30.9,,-62.2,-72.6
3363,7975796,2244929,CCCCOC1=CC=C(C=C1)CN2CCCCC2,Active,59,,,=,1.195,1.329,-2.5,-100,0.99,12,-76.1,-5.3,-22.8,-27,,-39.1,,-55,-76.1,
3364,17432157,2029536,COC1=C(C=C(C=C1)Cl)NC(=S)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,Active,58,,,=,1.442,1.105,0,-100,1.81,14,-101.4,9,-7.5,-16.8,,-25,,-49.1,-80.6,-101.4
3365,26732101,16060480,C[C@@]12CCC=C[C@H]1[C@@H](N(C2=O)CC3=CC=CC=C3)C4=C(C=C(C=C4)C5=CC(=C(C=C5)OC)OC)F,Active,56,,,=,2.55,1.065,-24.1,-100,3.45,14,-98.6,-18.1,-28.7,-27.6,,-22.4,,-38.3,-71.2,-98.6
3366,17408937,1457119,CC1=C(C(=CC=C1)N(CC(=O)NC2CCCC2)C(=O)C3=CC4=CC5=CC=CC(=C5N=C4S3)C)C,Active,58,,,=,1.599,1.099,-25,-100,2.71,13,-101.9,-17.8,-22,-35.2,-36.5,,-53,,-93.4,-101.9
3367,17517158,5676317,C1=CC=C(C=C1)NC2=C/C(=N/S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active,59,,,=,1.144,1.113,-19.4,-100,4,13,-98.5,-27.3,-19.6,-20,,-20.4,,-97.3,-98.5,-98.1
3368,17505415,1201888,CC1=CC(=CC=C1)CSC2=NC3=C(CN(CC3)C)C(=C2C#N)C4=CC=CS4,Active,70,,,=,0.101,1.099,0,-100.9,1.25,14,-101,-47.6,-75.8,-80.4,-92.2,,-98.1,,-99.9,-101
3369,22407635,6906133,COC1=C(C=C(C=C1)/C=N/OCC(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3)OC,Active,63,,,=,0.56,1.044,-7,-99.4,2.58,14,-98.2,-7.8,-12.4,-32.9,-68,,-95.8,,-97.3,-98.2
3370,17402148,1479153,C1=CC=C(C=C1)SC2=C(C=C(C=N2)C3=CC=C(C=C3)Cl)C#N,Active,54,,,=,3.766,1.155,25,-100,2.66,14,-72.9,50.5,34.6,34.8,,37.2,,16.7,-3.9,-72.9
3371,49715906,24789749,CC1=CC(=C(C=C1)OC)NC2=N[N+](=C(S2)C3=C(C(=CC=C3)Cl)Cl)C4=CC=CC=C4.[Cl-],Active,55,,,=,3.003,1.115,-17.4,-100,2.49,12,-98.1,-18.1,-15.9,-8.4,-24,,-34.1,,-53.4,-98.1
3372,49818354,24687664,C1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)NC(=O)COC4=C(C=C(C=C4)F)Cl,Active,56,,,=,2.557,1.203,25,-100,1.42,14,-85.3,28.2,36.9,15.6,-9,,-13.8,,-28.2,-85.3
3373,24794949,1248704,CCN(CC)CCNC1=NC=NC2=C1SC3=C2C4=C(COC(C4)(C)C)C(=N3)N5CCCC5,Active,55,,,=,2.859,1.091,-8.4,-100,2.45,13,-85.1,-20.4,-9.9,-6.6,-5,,-25.9,,-57.9,-85.1
3374,22416838,5349730,C1=CC=C(C(=C1)/C=N/NC(=S)N)OCCSC2=CC=C(C=C2)Cl,Active,67,,,=,0.224,1.089,0,-100.5,1.65,14,-98.7,-26.9,-40.9,-65.8,-97.6,,-98.7,,-97,-95.7
3375,24837992,2475132,CC1=C(C=CC(=C1)N2CCN(CC2)C)NC(=O)C3=CC(=CC=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4,Active,58,,,=,1.428,1.119,-19.6,-100,1.44,12,-97.5,-26.3,-21.4,-28.7,-43.8,,-63,,-75.1,-97.5
3376,26724295,135684269,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=S)N/N=C/C2=C(C=CC(=C2)Br)O,Active,56,,,=,2.266,1.104,-3.9,-100,1.64,14,-80.7,-5.4,-5.7,-11.3,-11.2,,-39.5,,-64.3,-80.7
3377,22406406,2417800,CCCC1=NC2=CC=CC=C2C(=C1CC)C(=O)OCC(=O)N3CCC4=CC=CC=C43,Active,63,,,=,0.496,1.115,25,-91.2,4,14,-97.5,49.5,28.3,-3,-75.6,,-81.2,,-91.3,-97.5
3378,47196779,2924336,C1COCCN1CCOCCSC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,Active,61,,,=,0.803,1.088,-23.7,-94.5,1.82,14,-92.9,-27.6,-24.8,-40.2,-56.5,,-77.1,,-88.4,-92.9
3379,17517314,4230997,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)NC3=CC(=C(C=C3)C)S(=O)(=O)N4CCOCC4)C5=CC=CC=C5,Active,58,,,=,1.566,1.06,-16.5,-103.7,4,14,-101.5,-14.4,-12.6,-25.4,-17.6,,-56,,-100.4,-101.5
3380,24793745,2167819,CCOC(=O)C1=C(SC(=C1C2=CC=C(C=C2)C(C)(C)C)C)NC(=O)/C=C/C(=O)O,Active,55,,,=,3.423,1.084,15.7,-100,4,14,-96.9,17.2,17.4,12.1,,24.5,,-0.4,-22.2,-96.9
3381,51086108,7539642,C1CN(CCN1C2=NC3=C(C=C(C=C3S2)F)F)C(=O)C4=CC=C(O4)[N+](=O)[O-],Active,63,,,=,0.466,1.082,0,-100,1.11,14,-98.5,-16.4,-27.3,-46.2,,-62.1,,-75.7,-93.6,-98.5
3382,22407870,2457799,CC1=CC(=C(C=C1)N2C(=O)C3=C(N=C2SCC(=O)C4=C(N(C(=O)N(C4=O)C)C)N)SC5=C3CCCC5)C,Active,57,,,=,2.104,1.06,-16.3,-100,4,14,-99.1,-10.4,-17.1,-14.2,,-27.1,,-34,-86.4,-99.1
3383,14729645,697203,CN1CCN(CC1)C2=NC(=CC(=N2)C3=CC=C(C=C3)OC)C#N,Active,57,,,=,1.945,1.116,-25,-100,1.96,14,-96.9,-27.5,-29.6,-27.7,,-36.1,,-51.3,-77.8,-96.9
3384,24823479,135439754,CC1=CC(=NN1CC(=O)N/N=C/C2=C(C(=CC(=C2)Br)[N+](=O)[O-])O)C,Active,62,,,=,0.678,1.144,0,-100,0.63,14,-82.4,-21.9,-34.7,-41.1,,-53.8,,-54.3,-75.9,-82.4
3385,24802284,9590496,CC1=C(C(=NC(=N1)C2=CC=CC=C2)N/N=C/C3=CC=NC=C3)CC=C,Active,60,,,=,0.941,1.222,-25,-100,1.76,14,-98.2,-24.6,-36,-31.3,,-60.7,,-75.8,-93.1,-98.2
3386,49671995,2740175,CC1=C(C(=NC(=N1)C2=CC=CC=N2)N(C)C3=CC=CC=C3)Cl,Active,55,,,=,3.258,1.051,0.9,-100,4,13,-98.6,7.2,-5.1,4.5,1.7,,-5.7,,-38.8,-98.6
3387,47203457,800782,COC1=C(C=C(C=C1)Cl)NC2=NC(=CS2)C3=CN=CC=C3,Active,55,,,=,3.224,1.091,-6.4,-100,4,12,-92.2,-19.6,-15.3,8.2,1.5,,-10.2,,-46.8,-92.2
3388,24819346,3734343,C1=CC=C(C(=C1)CC2=C(N=C(N=C2N)C3=CC=CC=N3)N)F,Active,56,,,=,2.523,1.087,10.2,-100,4,13,-99.1,-0.3,7.2,23.7,,8.9,,6.9,-69.8,-99.1
